epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,196.769,0.70121,1.16582,1.1508,0.9696,0.95579,0.99167,0.8819,0.52163,0.47053,1.03756,0.000273659,0.000273659,0.000273659
20,207.084,0.70144,1.149,1.15134,0.97251,0.97004,0.99092,0.88013,0.534,0.44779,1.04707,0.000270363,0.000270363,0.000270363
21,217.371,0.69586,1.0912,1.14421,0.98352,0.97471,0.99314,0.88045,0.5367,0.47414,1.05778,0.000267066,0.000267066,0.000267066
22,227.68,0.70549,1.0951,1.15309,0.97383,0.98071,0.99171,0.88341,0.52333,0.443,1.04385,0.000263769,0.000263769,0.000263769
23,237.989,0.67966,1.05051,1.13615,0.96558,0.97363,0.99344,0.88216,0.51911,0.44762,1.03587,0.000260473,0.000260473,0.000260473
24,248.271,0.68453,1.05768,1.13655,0.96963,0.98288,0.99346,0.88185,0.52437,0.43054,1.03541,0.000257176,0.000257176,0.000257176
25,258.547,0.68776,1.0287,1.14087,0.97321,0.99109,0.99442,0.88428,0.52785,0.42024,1.03967,0.000253879,0.000253879,0.000253879
26,268.845,0.68785,1.02989,1.13655,0.9739,0.98771,0.9946,0.8929,0.50405,0.40951,1.02142,0.000250583,0.000250583,0.000250583
27,279.146,0.66668,0.97504,1.12936,0.98173,0.98184,0.99462,0.88836,0.51225,0.41762,1.03072,0.000247286,0.000247286,0.000247286
28,289.428,0.67859,0.97651,1.12902,0.98111,0.98637,0.99434,0.89084,0.52243,0.39134,1.04398,0.000243989,0.000243989,0.000243989
29,299.717,0.67095,0.94761,1.12587,0.9788,0.98099,0.99387,0.8868,0.51049,0.40739,1.03042,0.000240692,0.000240692,0.000240692
30,310.002,0.66836,0.93975,1.12632,0.98302,0.9861,0.99461,0.88932,0.49369,0.39733,1.01449,0.000237396,0.000237396,0.000237396
31,320.291,0.65076,0.9101,1.11313,0.98103,0.99278,0.99481,0.88927,0.50189,0.37926,1.01733,0.000234099,0.000234099,0.000234099
32,330.596,0.65318,0.89408,1.1122,0.98626,0.98951,0.99361,0.89,0.50628,0.37316,1.02995,0.000230802,0.000230802,0.000230802
33,341.03,0.66483,0.90073,1.12056,0.98685,0.9921,0.99494,0.89514,0.49192,0.36424,1.00755,0.000227506,0.000227506,0.000227506
34,351.336,0.65068,0.88847,1.10836,0.98169,0.99454,0.99418,0.90098,0.48282,0.36318,1.00016,0.000224209,0.000224209,0.000224209
35,361.628,0.6486,0.85375,1.10996,0.98529,0.99516,0.99431,0.89364,0.48507,0.34983,1.011,0.000220912,0.000220912,0.000220912
36,371.923,0.63904,0.86346,1.111,0.97971,0.99158,0.99255,0.89308,0.49382,0.35952,1.00984,0.000217616,0.000217616,0.000217616
